"name","Max_High","Hour_of_Day"
"BYND","137.97","13"
"BYND","139.56","14"
"BYND","141.0","15"
"BYND","138.24","16"
"BYND","137.79","17"
"BYND","135.73","18"
"BYND","135.85","19"
"DDOG","67.25","13"
"DDOG","66.55","14"
"DDOG","65.0","15"
"DDOG","64.88","16"
"DDOG","65.0","17"
"DDOG","64.13","18"
"DDOG","65.87","19"
"FB","203.87","13"
"FB","203.35","14"
"FB","204.27","15"
"FB","205.1","16"
"FB","205.64","17"
"FB","204.99","18"
"FB","206.93","19"
"NFLX","452.0","13"
"NFLX","446.51","14"
"NFLX","440.64","15"
"NFLX","440.34","16"
"NFLX","441.78","17"
"NFLX","441.44","18"
"NFLX","442.14","19"
"OKTA","178.0","13"
"OKTA","177.81","14"
"OKTA","179.89","15"
"OKTA","179.01","16"
"OKTA","178.5","17"
"OKTA","177.81","18"
"OKTA","177.85","19"
"PINS","16.54","13"
"PINS","16.67","14"
"PINS","16.94","15"
"PINS","17.04","16"
"PINS","17.03","17"
"PINS","16.91","18"
"PINS","17.09","19"
"SHOP","758.09","13"
"SHOP","752.0","14"
"SHOP","757.47","15"
"SHOP","754.16","16"
"SHOP","755.82","17"
"SHOP","751.8","18"
"SHOP","755.57","19"
"SNAP","16.73","13"
"SNAP","16.93","14"
"SNAP","17.15","15"
"SNAP","16.99","16"
"SNAP","17.0","17"
"SNAP","16.92","18"
"SNAP","16.97","19"
"SQ","72.81","13"
"SQ","75.59","14"
"SQ","76.49","15"
"SQ","76.75","16"
"SQ","77.18","17"
"SQ","77.26","18"
"SQ","78.25","19"
"TTD","289.45","13"
"TTD","290.07","14"
"TTD","296.86","15"
"TTD","294.5","16"
"TTD","296.0","17"
"TTD","295.77","18"
"TTD","297.67","19"
